id,1,2,3,4,5,6,7,8
b0,0.2592+0.4888i,0.4888+0.2592i,0.5072+1.198i,1.198+0.5072i,-0.2592+0.4888i,-0.4888+0.2592i,-0.5072+1.198i,-1.198+0.5072i
b1,0.2592+0.4888i,0.4888+0.2592i,0.5072+1.198i,1.198+0.5072i,0.2592-0.4888i,0.4888-0.2592i,0.5072-1.198i,1.198-0.5072i
b2,0.2592+0.4888i,0.4888+0.2592i,-0.2592+0.4888i,-0.4888+0.2592i,0.2592-0.4888i,0.4888-0.2592i,-0.2592-0.4888i,-0.4888-0.2592i
b3,0.2592+0.4888i,0.5072+1.198i,-0.2592+0.4888i,-0.5072+1.198i,0.2592-0.4888i,0.5072-1.198i,-0.2592-0.4888i,-0.5072-1.198i
