id,1,2,3,4,5,6,7,8
b0,0.9342+0.9849i,0.9866+0.2903i,0.2716+0.9325i,0.2901+0.2695i,-0.9342+0.9849i,-0.9866+0.2903i,-0.2716+0.9325i,-0.2901+0.2695i
b1,0.9342+0.9849i,0.9866+0.2903i,0.2716+0.9325i,0.2901+0.2695i,0.9342-0.9849i,0.9866-0.2903i,0.2716-0.9325i,0.2901-0.2695i
b2,0.9342+0.9849i,0.9866+0.2903i,-0.9342+0.9849i,-0.9866+0.2903i,0.9342-0.9849i,0.9866-0.2903i,-0.9342-0.9849i,-0.9866-0.2903i
b3,0.9342+0.9849i,0.2716+0.9325i,-0.9342+0.9849i,-0.2716+0.9325i,0.9342-0.9849i,0.2716-0.9325i,-0.9342-0.9849i,-0.2716-0.9325i
