id,1,2,3,4,5,6,7,8
b0,0.5115+1.2092i,1.2092+0.5115i,0.2663+0.453i,0.453+0.2663i,-0.5115+1.2092i,-1.2092+0.5115i,-0.2663+0.453i,-0.453+0.2663i
b1,0.5115+1.2092i,1.2092+0.5115i,0.2663+0.453i,0.453+0.2663i,0.5115-1.2092i,1.2092-0.5115i,0.2663-0.453i,0.453-0.2663i
b2,0.5115+1.2092i,1.2092+0.5115i,-0.5115+1.2092i,-1.2092+0.5115i,0.5115-1.2092i,1.2092-0.5115i,-0.5115-1.2092i,-1.2092-0.5115i
b3,0.5115+1.2092i,0.2663+0.453i,-0.5115+1.2092i,-0.2663+0.453i,0.5115-1.2092i,0.2663-0.453i,-0.5115-1.2092i,-0.2663-0.453i
