id,1,2,3,4,5,6,7,8
b0,0.2535+0.4923i,0.4923+0.2535i,0.4927+1.2044i,1.2044+0.4927i,-0.2535+0.4923i,-0.4923+0.2535i,-0.4927+1.2044i,-1.2044+0.4927i
b1,0.2535+0.4923i,0.4923+0.2535i,0.4927+1.2044i,1.2044+0.4927i,0.2535-0.4923i,0.4923-0.2535i,0.4927-1.2044i,1.2044-0.4927i
b2,0.2535+0.4923i,0.4923+0.2535i,-0.2535+0.4923i,-0.4923+0.2535i,0.2535-0.4923i,0.4923-0.2535i,-0.2535-0.4923i,-0.4923-0.2535i
b3,0.2535+0.4923i,0.4927+1.2044i,-0.2535+0.4923i,-0.4927+1.2044i,0.2535-0.4923i,0.4927-1.2044i,-0.2535-0.4923i,-0.4927-1.2044i
