id,1,2,3,4,5,6,7,8
b0,0.7062+0.7075i,0.7075+0.7062i,0.7072+0.7077i,0.7077+0.7072i,-0.7062+0.7075i,-0.7075+0.7062i,-0.7072+0.7077i,-0.7077+0.7072i
b1,0.7062+0.7075i,0.7075+0.7062i,0.7072+0.7077i,0.7077+0.7072i,0.7062-0.7075i,0.7075-0.7062i,0.7072-0.7077i,0.7077-0.7072i
b2,0.7062+0.7075i,0.7075+0.7062i,-0.7062+0.7075i,-0.7075+0.7062i,0.7062-0.7075i,0.7075-0.7062i,-0.7062-0.7075i,-0.7075-0.7062i
b3,0.7062+0.7075i,0.7072+0.7077i,-0.7062+0.7075i,-0.7072+0.7077i,0.7062-0.7075i,0.7072-0.7077i,-0.7062-0.7075i,-0.7072-0.7077i
