id,1,2,3,4,5,6,7,8
b0,0.9517+0.9511i,0.9524+0.3061i,0.3067+0.9524i,0.3061+0.3067i,-0.9517+0.9511i,-0.9524+0.3061i,-0.3067+0.9524i,-0.3061+0.3067i
b1,0.9517+0.9511i,0.9524+0.3061i,0.3067+0.9524i,0.3061+0.3067i,0.9517-0.9511i,0.9524-0.3061i,0.3067-0.9524i,0.3061-0.3067i
b2,0.9517+0.9511i,0.9524+0.3061i,-0.9517+0.9511i,-0.9524+0.3061i,0.9517-0.9511i,0.9524-0.3061i,-0.9517-0.9511i,-0.9524-0.3061i
b3,0.9517+0.9511i,0.3067+0.9524i,-0.9517+0.9511i,-0.3067+0.9524i,0.9517-0.9511i,0.3067-0.9524i,-0.9517-0.9511i,-0.3067-0.9524i
