id,1,2,3,4,5,6,7,8
b0,0.3192-0.5011i,0.5011-0.3192i,0.5575-1.1559i,1.1559-0.5575i,-0.3192-0.5011i,-0.5011-0.3192i,-0.5575-1.1559i,-1.1559-0.5575i
b1,-0.3192+0.5011i,-0.5011+0.3192i,-0.5575+1.1559i,-1.1559+0.5575i,-0.3192-0.5011i,-0.5011-0.3192i,-0.5575-1.1559i,-1.1559-0.5575i
b2,0.5575+1.1559i,1.1559+0.5575i,-0.5575+1.1559i,-1.1559+0.5575i,0.5575-1.1559i,1.1559-0.5575i,-0.5575-1.1559i,-1.1559-0.5575i
b3,0.5011+0.3192i,1.1559+0.5575i,-0.5011+0.3192i,-1.1559+0.5575i,0.5011-0.3192i,1.1559-0.5575i,-0.5011-0.3192i,-1.1559-0.5575i
