id,1,2,3,4,5,6,7,8
b0,0.3412-0.5241i,0.5241-0.3412i,0.5797-1.1282i,1.1282-0.5797i,-0.3412-0.5241i,-0.5241-0.3412i,-0.5797-1.1282i,-1.1282-0.5797i
b1,-0.3412+0.5241i,-0.5241+0.3412i,-0.5797+1.1282i,-1.1282+0.5797i,-0.3412-0.5241i,-0.5241-0.3412i,-0.5797-1.1282i,-1.1282-0.5797i
b2,0.5797+1.1282i,1.1282+0.5797i,-0.5797+1.1282i,-1.1282+0.5797i,0.5797-1.1282i,1.1282-0.5797i,-0.5797-1.1282i,-1.1282-0.5797i
b3,0.5241+0.3412i,1.1282+0.5797i,-0.5241+0.3412i,-1.1282+0.5797i,0.5241-0.3412i,1.1282-0.5797i,-0.5241-0.3412i,-1.1282-0.5797i
