id,1,2,3,4,5,6,7,8
b0,0.9555-0.9555i,0.9555-0.2949i,0.2949-0.9555i,0.2949-0.2949i,-0.9555-0.9555i,-0.9555-0.2949i,-0.2949-0.9555i,-0.2949-0.2949i
b1,-0.9555+0.9555i,-0.9555+0.2949i,-0.2949+0.9555i,-0.2949+0.2949i,-0.9555-0.9555i,-0.9555-0.2949i,-0.2949-0.9555i,-0.2949-0.2949i
b2,0.2949+0.9555i,0.2949+0.2949i,-0.2949+0.9555i,-0.2949+0.2949i,0.2949-0.9555i,0.2949-0.2949i,-0.2949-0.9555i,-0.2949-0.2949i
b3,0.9555+0.2949i,0.2949+0.2949i,-0.9555+0.2949i,-0.2949+0.2949i,0.9555-0.2949i,0.2949-0.2949i,-0.9555-0.2949i,-0.2949-0.2949i
