id,1,2,3,4,5,6,7,8
b0,0.4487-1.1657i,1.208-0.5377i,0.2213-0.4416i,0.6186-0.2544i,-0.4487-1.1657i,-1.208-0.5377i,-0.2213-0.4416i,-0.6186-0.2544i
b1,-0.4487+1.1657i,-1.208+0.5377i,-0.2213+0.4416i,-0.6186+0.2544i,-0.4487-1.1657i,-1.208-0.5377i,-0.2213-0.4416i,-0.6186-0.2544i
b2,0.2213+0.4416i,0.6186+0.2544i,-0.2213+0.4416i,-0.6186+0.2544i,0.2213-0.4416i,0.6186-0.2544i,-0.2213-0.4416i,-0.6186-0.2544i
b3,1.208+0.5377i,0.6186+0.2544i,-1.208+0.5377i,-0.6186+0.2544i,1.208-0.5377i,0.6186-0.2544i,-1.208-0.5377i,-0.6186-0.2544i
