id,1,2,3,4,5,6,7,8
b0,0.2386-0.5296i,0.5296-0.2386i,0.4882-1.1934i,1.1934-0.4882i,-0.2386-0.5296i,-0.5296-0.2386i,-0.4882-1.1934i,-1.1934-0.4882i
b1,-0.2386+0.5296i,-0.5296+0.2386i,-0.4882+1.1934i,-1.1934+0.4882i,-0.2386-0.5296i,-0.5296-0.2386i,-0.4882-1.1934i,-1.1934-0.4882i
b2,0.4882+1.1934i,1.1934+0.4882i,-0.4882+1.1934i,-1.1934+0.4882i,0.4882-1.1934i,1.1934-0.4882i,-0.4882-1.1934i,-1.1934-0.4882i
b3,0.5296+0.2386i,1.1934+0.4882i,-0.5296+0.2386i,-1.1934+0.4882i,0.5296-0.2386i,1.1934-0.4882i,-0.5296-0.2386i,-1.1934-0.4882i
